method,path,summary,operationId
GET,/coverage,Coverage Spec,coverage_spec_coverage_get
GET,/api/v1/health,"Liveness check (no auth, no DB)",health_check_api_v1_health_get
POST,/api/v1/auth/register,Sign up + receive API key once,register_api_v1_auth_register_post
GET,/api/v1/auth/verify-email,Confirm email and reveal API key (one-time),verify_email_api_v1_auth_verify_email_get
POST,/api/v1/auth/login,Login (metadata only — API key not re-issued),login_api_v1_auth_login_post
GET,/api/v1/auth/me,Current key + linked account,auth_me_api_v1_auth_me_get
GET,/api/v1/openplatform/aliexpress/callback,Aliexpress Oauth Callback,aliexpress_oauth_callback_api_v1_openplatform_aliexpress_callback_get
POST,/api/v1/openplatform/aliexpress/oauth/prepare,Aliexpress Oauth Prepare,aliexpress_oauth_prepare_api_v1_openplatform_aliexpress_oauth_prepare_post
GET,/api/v1/integrations/aliexpress/affiliate/product-detail,AliExpress affiliate product detail by ID (Open Platform),get_aliexpress_affiliate_product_detail_api_v1_integrations_aliexpress_affiliate_product_detail_get
GET,/api/v1/meta,Discover API capabilities (no auth),get_meta_api_v1_meta_get
GET,/api/v1/protocol,Protocol-lite contract (no auth),get_protocol_api_v1_protocol_get
GET,/api/v1/examples,REST/MCP code examples (no auth),get_examples_api_v1_examples_get
GET,/api/v1/changelog,API changelog JSON (no auth),get_api_changelog_api_v1_changelog_get
POST,/api/v1/agent/commerce/quote,Commerce quote (ACP / agent buyers),commerce_quote_api_v1_agent_commerce_quote_post
GET,/api/v1/agent/commerce/quote,Commerce quote (GET convenience),commerce_quote_get_api_v1_agent_commerce_quote_get
POST,/api/v1/agent/security/dd-brief,Token security DD brief (ACP),security_dd_brief_api_v1_agent_security_dd_brief_post
GET,/api/v1/agent/security/dd-brief,Token security DD brief (GET convenience),security_dd_brief_get_api_v1_agent_security_dd_brief_get
POST,/api/v1/agent/defi/meteora/brief,Meteora DLMM yield/arbitrage brief (agent-ready),meteora_brief_api_v1_agent_defi_meteora_brief_post
GET,/api/v1/agent/defi/meteora/brief,Meteora DLMM yield/arbitrage brief (GET convenience),meteora_brief_get_api_v1_agent_defi_meteora_brief_get
POST,/api/v1/agent/defi/meteora/pool-detail,"Meteora DLMM pool detail (bin depth, liquidity curve)",meteora_pool_detail_api_v1_agent_defi_meteora_pool_detail_post
GET,/api/v1/agent/defi/meteora/pool-detail,Meteora DLMM pool detail (GET convenience),meteora_pool_detail_get_api_v1_agent_defi_meteora_pool_detail_get
GET,/api/v1/agent/defi/solana/brief,Solana DEX ecosystem brief (agent-ready),solana_dex_brief_api_v1_agent_defi_solana_brief_get
GET,/api/v1/dex/overview,DEX overview by 24h volume (DefiLlama),api_dex_overview_api_v1_dex_overview_get
GET,/api/v1/dex/top-movers,DEX top movers by 24h volume change % (DefiLlama),api_dex_top_movers_api_v1_dex_top_movers_get
GET,/api/v1/agent-capabilities,Discover API capabilities (no auth),get_agent_capabilities_api_v1_agent_capabilities_get
GET,/api/v1/search,"Search product prices (multi-source, AliExpress-forward)",search_products_api_v1_search_get
GET,/api/v1/offers/best,Get cheapest offer for a product,best_offer_api_v1_offers_best_get
GET,/api/v1/offers/best-under-budget,Get best offer within budget,best_offer_under_budget_api_v1_offers_best_under_budget_get
POST,/api/v1/products/submit,Submit a marketplace product URL (community),submit_product_url_api_v1_products_submit_post
GET,/api/v1/products/{product_id},Get product details and prices by ID,get_product_api_v1_products__product_id__get
GET,/api/v1/products/{product_id}/price-history,Get price history for a product,get_price_history_api_v1_products__product_id__price_history_get
GET,/api/v1/edge/categories,Get Edge Categories,get_edge_categories_api_v1_edge_categories_get
GET,/api/v1/edge/search,Search Edge Devices,search_edge_devices_api_v1_edge_search_get
GET,/api/v1/edge/specs/{product_id},Get Edge Device Specs,get_edge_device_specs_api_v1_edge_specs__product_id__get
GET,/api/v1/edge/compare,Compare Edge Devices,compare_edge_devices_api_v1_edge_compare_get
GET,/api/v1/edge/recommendations,Get Edge Recommendations,get_edge_recommendations_api_v1_edge_recommendations_get
GET,/api/v1/currency/rates,Get Exchange Rates,get_exchange_rates_api_v1_currency_rates_get
GET,/api/v1/currency/convert,Convert Currency,convert_currency_api_v1_currency_convert_get
POST,/api/v1/webhooks/register,Register Webhook,register_webhook_api_v1_webhooks_register_post
DELETE,/api/v1/webhooks/{webhook_id},Unregister Webhook,unregister_webhook_api_v1_webhooks__webhook_id__delete
PATCH,/api/v1/webhooks/{webhook_id},Update Webhook,update_webhook_api_v1_webhooks__webhook_id__patch
GET,/api/v1/webhooks,List Webhooks,list_webhooks_api_v1_webhooks_get
GET,/api/v1/webhooks/{webhook_id}/deliveries,Get Webhook Deliveries,get_webhook_deliveries_api_v1_webhooks__webhook_id__deliveries_get
POST,/api/v1/webhooks/test,Test Webhook,test_webhook_api_v1_webhooks_test_post
GET,/api/v1/dashboard/api-keys,List Api Keys,list_api_keys_api_v1_dashboard_api_keys_get
POST,/api/v1/dashboard/revoke-key,Revoke Key,revoke_key_api_v1_dashboard_revoke_key_post
GET,/api/v1/dashboard/usage,Get Usage,get_usage_api_v1_dashboard_usage_get
GET,/api/v1/public/mcp-registry/summary,Mcp Registry Summary,mcp_registry_summary_api_v1_public_mcp_registry_summary_get
GET,/api/v1/public/demand-summary,Demand Summary,demand_summary_api_v1_public_demand_summary_get
GET,/api/v1/public/data-quality,Public Data Quality,public_data_quality_api_v1_public_data_quality_get
GET,/api/v1/public/project-status-message,Project Status Message,project_status_message_api_v1_public_project_status_message_get
GET,/api/v1/public/live-feed,Live Global Feed,live_global_feed_api_v1_public_live_feed_get
GET,/api/v1/public/bot-traffic/stats,Public Bot Traffic Stats,public_bot_traffic_stats_api_v1_public_bot_traffic_stats_get
POST,/api/v1/public/beacon-beta,Beacon Beta Signup,beacon_beta_signup_api_v1_public_beacon_beta_post
GET,/api/v1/registry/entries,List Registry Entries,list_registry_entries_api_v1_registry_entries_get
POST,/api/v1/registry/submit,Submit Registry Entry,submit_registry_entry_api_v1_registry_submit_post
GET,/api/v1/registry/status/{token},Registry Submission Status,registry_submission_status_api_v1_registry_status__token__get
